State	HeartAttack	ColGrad	HSDrop	FruitVeg	OBESE	BingeDrink	SmokesDay	CholestChkd
AL	5.5	27.1	12.4	20.3	31.6	10.7	16.5	79.3
AK	3.3	32.3	7.1	23.4	25.4	17.9	14.7	71.3
AZ	4.4	35.6	9.3	24.1	25.9	14.9	11.0	74.0
AR	5.2	29.0	10.5	20.4	31.5	11.3	15.5	74.2
CA	3.3	34.0	20.1	27.7	25.5	15.8	8.1	74.5
CO	3.0	39.1	8.3	24.8	19.0	16.3	12.1	76.0
CT	3.0	47.6	4.9	28.3	21.0	19.0	10.7	82.7
DE	4.4	39.7	6.9	25.0	27.6	18.5	13.3	81.3
DC	1.9	62.2	5.7	31.5	20.1	20.1	9.1	85.3
FL	5.0	35.6	9.5	24.4	26.5	13.3	12.8	83.2
GA	3.8	35.5	11.0	24.5	27.7	10.5	12.6	78.8
GU	2.4	26.0	11.4	24.3	26.8	21.8	18.9	70.0
HI	2.9	37.2	5.1	23.5	22.9	17.1	10.4	77.0
ID	3.6	29.8	9.8	24.6	25.1	13.0	12.3	69.4
IL	3.7	37.4	6.9	22.5	27.4	17.7	12.0	75.7
IN	4.9	28.0	10.7	20.6	30.0	14.2	17.1	75.8
IA	4.2	29.6	7.6	18.5	28.5	18.5	13.4	75.5
KS	3.7	34.8	6.5	18.6	28.8	14.5	13.2	75.0
KY	5.9	28.8	11.7	21.1	32.4	12.4	20.6	78.3
LA	4.4	30.4	11.6	16.9	33.9	14.4	16.4	77.2
ME	4.4	35.3	5.8	28.0	26.4	15.1	12.5	82.6
MD	3.5	43.3	6.8	27.6	26.8	12.6	10.4	83.3
MA	4.0	44.4	7.4	26.2	21.8	17.6	10.9	84.0
MI	4.4	32.5	6.1	22.6	30.3	17.1	13.7	79.7
MN	2.9	41.4	4.1	21.9	25.4	20.2	11.3	77.0
MS	4.9	25.6	15.4	16.8	35.4	10.1	17.1	74.8
MO	4.4	29.8	9.9	19.9	30.6	17.2	18.3	73.6
MT	4.1	31.4	6.9	25.7	23.7	17.3	12.2	72.0
NE	3.4	34.1	6.7	20.9	28.1	17.9	12.9	73.9
NV	4.9	32.3	7.4	23.7	26.4	17.5	15.8	76.0
NH	3.5	43.2	5.5	27.9	26.3	15.8	11.3	82.8
NJ	3.6	41.3	7.6	26.4	23.9	14.3	10.0	82.3
NM	3.6	33.5	11.4	23.2	25.6	12.8	11.2	72.0
NY	3.4	38.7	10.3	26.8	24.6	16.3	12.1	81.9
NC	4.4	31.4	13.9	20.6	30.1	12.8	14.4	78.3
ND	3.9	31.7	8.4	22.5	28.4	21.4	13.4	75.6
OH	4.4	32.2	8.4	21.0	29.8	16.1	15.6	77.5
OK	5.2	27.3	11.9	14.6	32.0	13.0	18.8	74.5
OR	4.0	34.6	6.4	26.3	23.6	15.0	13.1	73.9
PA	4.6	32.0	7.7	24.1	28.1	16.6	15.1	78.7
PR	4.1	29.8	19.6	17.7	27.5	10.6	6.9	83.7
RI	3.9	38.4	7.1	26.1	24.9	18.2	10.2	83.6
SC	4.6	30.7	12.5	17.4	30.1	12.7	14.6	79.1
SD	4.1	31.6	8.1	15.7	30.3	19.3	12.5	73.8
TN	4.7	22.1	12.1	23.3	32.9	6.8	17.6	81.4
TX	3.1	35.4	14.5	23.8	29.5	14.9	11.7	72.0
UT	2.7	30.3	5.9	23.3	24.0	8.8	6.9	67.5
VT	3.7	39.6	5.3	29.3	23.4	17.1	12.5	78.0
VA	3.8	38.8	8.1	27.3	25.5	13.5	13.8	80.7
VI	1.5	25.4	17.1	28.6	29.6	11.7	3.9	76.6
WA	3.0	38.0	8.1	25.1	26.9	15.2	10.7	72.9
WV	6.5	20.8	13.6	16.2	31.7	9.2	20.7	80.4
WI	3.4	30.1	6.1	22.7	29.2	23.9	12.6	76.9
WY	4.5	30.2	6.0	23.3	25.4	15.8	15.3	75.5

